CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
27,0.9544986244554649,115.0,10.0,32.0,70.0,false,2,0
35,0.9114433397460432,153.0,0.0,0.0,30.0,true,0,0
39,0.9064014375314525,158.0,0.0,0.0,25.0,true,0,0
29,1.0622992235376414,124.0,9.0,51.0,69.0,false,2,0
38,0.9185426887274771,156.0,11.0,40.0,57.0,false,1,0
46,0.9321273157411647,173.0,0.0,0.0,41.0,true,0,0
32,0.9708829635392898,143.0,10.0,25.0,73.0,false,1,0
44,1.0200809709171899,164.0,10.0,25.0,53.0,false,2,0
51,1.0840663928117502,185.0,0.0,0.0,40.0,true,0,0
37,1.0411658843036777,155.0,10.0,27.0,72.0,false,1,0
40,0.8677543423285017,159.0,12.0,51.0,68.0,false,1,0
45,0.9105380623324252,167.0,11.0,36.0,61.0,false,2,0
54,1.1208168558571008,197.0,0.0,0.0,29.0,true,0,0
55,1.091035958336353,211.0,0.0,0.0,15.0,true,0,0
58,0.987306929341852,219.0,0.0,0.0,16.0,true,0,0
41,0.9332110431614781,160.0,11.0,64.0,80.0,false,1,0
62,0.9750826540608538,230.0,0.0,0.0,17.0,true,0,0
63,1.0454184476789348,231.0,0.0,0.0,16.0,true,0,0
60,1.0072070129165933,223.0,0.0,0.0,27.0,true,0,0
61,0.9224726296897205,224.0,0.0,0.0,26.0,true,0,0
47,0.9347004697714257,174.0,11.0,43.0,79.0,false,2,0
48,1.0881304198168604,178.0,9.0,53.0,75.0,false,2,0
65,0.9549626170959002,234.0,0.0,0.0,17.0,true,0,0
43,0.9367580178196186,163.0,11.0,75.0,95.0,false,1,0
66,0.8243984997977627,237.0,0.0,0.0,20.0,true,0,0
49,1.0691611051517738,179.0,9.0,66.0,84.0,false,2,0
68,0.9830306595001711,244.0,0.0,0.0,17.0,true,0,0
71,1.0218060288058755,252.0,0.0,0.0,16.0,true,0,0
52,0.9556555797061155,186.0,10.0,87.0,110.0,false,2,0
53,1.0807714291116528,190.0,9.0,62.0,105.0,false,1,0
56,0.962488917206036,214.0,10.0,52.0,81.0,false,1,0
73,0.888873295554181,264.0,0.0,0.0,30.0,true,0,0
50,0.9958679909077569,181.0,10.0,78.0,116.0,false,2,0
57,1.0256293995444827,216.0,10.0,64.0,85.0,false,1,0
77,0.846454850344472,281.0,0.0,0.0,19.0,true,0,0
64,1.0686784460845766,232.0,9.0,55.0,73.0,false,2,0
78,1.0977311774477432,288.0,0.0,0.0,15.0,true,0,0
59,0.9506550327882766,221.0,11.0,73.0,87.0,false,1,0
80,1.1212626485471586,292.0,0.0,0.0,15.0,true,0,0
81,1.0597366411246218,296.0,0.0,0.0,15.0,true,0,0
67,1.0872637983660898,239.0,9.0,62.0,86.0,false,2,0
