CAR_NUMBER,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
987,3712.0,0.0,0.0,18.0,true,0
961,3613.0,11.0,107.0,125.0,false,1
965,3645.0,11.0,75.0,93.0,false,2
991,3731.0,0.0,0.0,18.0,true,0
968,3652.0,11.0,82.0,100.0,false,2
972,3664.0,11.0,70.0,88.0,false,1
973,3665.0,11.0,83.0,101.0,false,1
978,3685.0,11.0,63.0,81.0,false,2
998,3751.0,0.0,0.0,18.0,true,0
1000,3759.0,0.0,0.0,18.0,true,0
1001,3760.0,0.0,0.0,18.0,true,0
975,3668.0,11.0,94.0,112.0,false,1
982,3694.0,11.0,68.0,86.0,false,2
976,3673.0,11.0,103.0,121.0,false,1
983,3697.0,11.0,79.0,97.0,false,2
1006,3781.0,0.0,0.0,18.0,true,0
1007,3782.0,0.0,0.0,18.0,true,0
985,3708.0,11.0,82.0,100.0,false,2
989,3722.0,11.0,68.0,86.0,false,1
1008,3790.0,0.0,0.0,18.0,true,0
1009,3792.0,0.0,0.0,18.0,true,0
1010,3795.0,0.0,0.0,18.0,true,0
988,3717.0,11.0,87.0,105.0,false,2
990,3725.0,11.0,79.0,97.0,false,1
1011,3815.0,0.0,0.0,18.0,true,0
992,3732.0,11.0,86.0,104.0,false,1
994,3739.0,11.0,79.0,97.0,false,2
993,3736.0,11.0,96.0,114.0,false,1
996,3749.0,11.0,83.0,101.0,false,2
1015,3839.0,0.0,0.0,18.0,true,0
995,3742.0,11.0,104.0,122.0,false,1
997,3750.0,11.0,96.0,114.0,false,2
1019,3857.0,0.0,0.0,18.0,true,0
1020,3859.0,0.0,0.0,18.0,true,0
999,3758.0,11.0,102.0,120.0,false,2
1003,3768.0,11.0,92.0,110.0,false,1
1023,3867.0,0.0,0.0,18.0,true,0
1024,3868.0,0.0,0.0,18.0,true,0
1025,3870.0,0.0,0.0,18.0,true,0
1002,3767.0,11.0,107.0,125.0,false,2
1004,3773.0,11.0,101.0,119.0,false,1
1028,3880.0,0.0,0.0,18.0,true,0
1030,3883.0,0.0,0.0,18.0,true,0
1005,3776.0,11.0,112.0,130.0,false,1
1012,3819.0,11.0,69.0,87.0,false,2
1034,3897.0,0.0,0.0,18.0,true,0
1013,3823.0,11.0,79.0,97.0,false,2
1016,3842.0,11.0,60.0,78.0,false,1
1037,3908.0,0.0,0.0,18.0,true,0
1014,3829.0,11.0,87.0,105.0,false,2
1017,3844.0,11.0,72.0,90.0,false,1
1039,3924.0,0.0,0.0,18.0,true,0
1040,3926.0,0.0,0.0,18.0,true,0
1018,3855.0,11.0,75.0,93.0,false,1
1021,3862.0,11.0,68.0,86.0,false,2
1042,3932.0,0.0,0.0,18.0,true,0
1043,3937.0,0.0,0.0,18.0,true,0
1022,3865.0,11.0,79.0,97.0,false,1
1026,3871.0,11.0,73.0,91.0,false,2
1046,3948.0,0.0,0.0,18.0,true,0
1049,3952.0,0.0,0.0,18.0,true,0
1027,3873.0,11.0,85.0,103.0,false,2
1031,3886.0,11.0,72.0,90.0,false,1
1051,3966.0,0.0,0.0,18.0,true,0
1029,3881.0,11.0,91.0,109.0,false,2
1032,3887.0,11.0,85.0,103.0,false,1
1054,3979.0,0.0,0.0,18.0,true,0
1033,3894.0,11.0,92.0,110.0,false,1
1035,3902.0,11.0,84.0,102.0,false,2
1056,3988.0,0.0,0.0,18.0,true,0
1057,3990.0,0.0,0.0,18.0,true,0
1058,3992.0,0.0,0.0,18.0,true,0
1059,3998.0,0.0,0.0,18.0,true,0
1036,3905.0,11.0,95.0,113.0,false,1
1038,3920.0,11.0,80.0,98.0,false,2
1060,4001.0,0.0,0.0,18.0,true,0
1061,4009.0,0.0,0.0,18.0,true,0
1062,4011.0,0.0,0.0,18.0,true,0
1041,3930.0,11.0,84.0,102.0,false,2
1045,3946.0,11.0,68.0,86.0,false,1
1063,4015.0,0.0,0.0,18.0,true,0
1064,4016.0,0.0,0.0,18.0,true,0
1066,4018.0,0.0,0.0,18.0,true,0
1067,4021.0,0.0,0.0,18.0,true,0
1044,3939.0,11.0,89.0,107.0,false,2
1047,3949.0,11.0,79.0,97.0,false,1
1069,4028.0,0.0,0.0,18.0,true,0
1048,3951.0,11.0,91.0,109.0,false,1
1052,3973.0,11.0,69.0,87.0,false,2
1074,4046.0,0.0,0.0,18.0,true,0
1075,4049.0,0.0,0.0,18.0,true,0
1050,3960.0,11.0,96.0,114.0,false,1
1053,3978.0,11.0,78.0,96.0,false,2
1055,3982.0,11.0,88.0,106.0,false,2
1065,4017.0,11.0,53.0,71.0,false,1
1068,4025.0,11.0,59.0,77.0,false,1
1072,4039.0,11.0,45.0,63.0,false,2
1070,4030.0,11.0,68.0,86.0,false,1
1073,4040.0,11.0,58.0,76.0,false,2
1071,4033.0,11.0,79.0,97.0,false,1
1076,4054.0,11.0,58.0,76.0,false,2
1083,4118.0,0.0,0.0,18.0,true,0
1085,4124.0,0.0,0.0,18.0,true,0
1086,4125.0,0.0,0.0,18.0,true,0
1077,4063.0,11.0,63.0,81.0,false,2
1079,4084.0,11.0,42.0,60.0,false,1
1090,4139.0,0.0,0.0,18.0,true,0
1078,4067.0,11.0,73.0,91.0,false,2
1080,4101.0,11.0,39.0,57.0,false,1
1092,4141.0,0.0,0.0,18.0,true,0
1098,4149.0,0.0,0.0,18.0,true,0
1099,4152.0,0.0,0.0,18.0,true,0
1081,4107.0,11.0,47.0,65.0,false,1
1084,4119.0,11.0,35.0,53.0,false,2
1100,4158.0,0.0,0.0,18.0,true,0
1102,4161.0,0.0,0.0,18.0,true,0
1103,4163.0,0.0,0.0,18.0,true,0
1104,4167.0,0.0,0.0,18.0,true,0
1082,4109.0,11.0,59.0,77.0,false,1
1087,4126.0,11.0,42.0,60.0,false,2
1106,4175.0,0.0,0.0,18.0,true,0
1088,4128.0,11.0,54.0,72.0,false,2
1091,4140.0,11.0,42.0,60.0,false,1
1107,4182.0,0.0,0.0,18.0,true,0
1108,4184.0,0.0,0.0,18.0,true,0
1111,4191.0,0.0,0.0,18.0,true,0
1112,4194.0,0.0,0.0,18.0,true,0
1089,4129.0,11.0,67.0,85.0,false,2
1093,4142.0,11.0,54.0,72.0,false,1
1115,4203.0,0.0,0.0,18.0,true,0
1094,4143.0,11.0,67.0,85.0,false,1
1101,4159.0,11.0,51.0,69.0,false,2
1095,4146.0,11.0,78.0,96.0,false,1
1105,4171.0,11.0,53.0,71.0,false,2
1123,4231.0,0.0,0.0,18.0,true,0
1124,4232.0,0.0,0.0,18.0,true,0
1096,4147.0,11.0,91.0,109.0,false,1
1109,4188.0,11.0,50.0,68.0,false,2
1125,4242.0,0.0,0.0,18.0,true,0
1126,4246.0,0.0,0.0,18.0,true,0
1128,4251.0,0.0,0.0,18.0,true,0
1097,4148.0,11.0,104.0,122.0,false,1
1110,4189.0,11.0,63.0,81.0,false,2
1129,4256.0,0.0,0.0,18.0,true,0
1130,4259.0,0.0,0.0,18.0,true,0
1113,4196.0,11.0,70.0,88.0,false,2
1116,4212.0,11.0,54.0,72.0,false,1
1114,4200.0,11.0,80.0,98.0,false,2
1117,4214.0,11.0,66.0,84.0,false,1
1134,4285.0,0.0,0.0,18.0,true,0
1135,4292.0,0.0,0.0,18.0,true,0
1118,4216.0,11.0,78.0,96.0,false,1
1122,4227.0,11.0,67.0,85.0,false,2
1136,4301.0,0.0,0.0,18.0,true,0
1119,4217.0,11.0,91.0,109.0,false,1
1127,4250.0,11.0,58.0,76.0,false,2
1139,4312.0,0.0,0.0,18.0,true,0
1140,4314.0,0.0,0.0,18.0,true,0
1120,4218.0,11.0,104.0,122.0,false,1
1131,4273.0,11.0,49.0,67.0,false,2
1143,4327.0,0.0,0.0,18.0,true,0
1144,4330.0,0.0,0.0,18.0,true,0
1121,4222.0,11.0,114.0,132.0,false,1
1132,4279.0,11.0,57.0,75.0,false,2
1133,4281.0,11.0,69.0,87.0,false,2
1137,4302.0,11.0,48.0,66.0,false,1
1147,4352.0,0.0,0.0,18.0,true,0
1138,4306.0,11.0,58.0,76.0,false,1
1141,4317.0,11.0,47.0,65.0,false,2
1149,4364.0,0.0,0.0,18.0,true,0
1142,4324.0,11.0,54.0,72.0,false,2
1145,4345.0,11.0,33.0,51.0,false,1
1146,4347.0,11.0,45.0,63.0,false,1
1148,4358.0,11.0,34.0,52.0,false,2
1157,4401.0,0.0,0.0,18.0,true,0
1150,4367.0,11.0,39.0,57.0,false,2
1151,4370.0,11.0,36.0,54.0,false,1
1159,4416.0,0.0,0.0,18.0,true,0
1152,4375.0,11.0,45.0,63.0,false,1
1155,4391.0,11.0,29.0,47.0,false,2
1162,4426.0,0.0,0.0,18.0,true,0
1163,4428.0,0.0,0.0,18.0,true,0
1164,4433.0,0.0,0.0,18.0,true,0
1153,4379.0,11.0,55.0,73.0,false,1
1156,4399.0,11.0,35.0,53.0,false,2
1166,4447.0,0.0,0.0,18.0,true,0
1154,4382.0,11.0,66.0,84.0,false,1
1158,4405.0,11.0,43.0,61.0,false,2
1167,4453.0,0.0,0.0,18.0,true,0
1169,4461.0,0.0,0.0,18.0,true,0
1160,4423.0,11.0,39.0,57.0,false,2
1161,4424.0,11.0,38.0,56.0,false,1
1172,4467.0,0.0,0.0,18.0,true,0
1165,4436.0,11.0,40.0,58.0,false,2
1168,4459.0,11.0,26.0,44.0,false,1
1179,4496.0,0.0,0.0,18.0,true,0
1170,4462.0,11.0,37.0,55.0,false,1
1180,4500.0,0.0,0.0,18.0,true,0
1175,4475.0,11.0,26.0,44.0,false,2
1181,4505.0,0.0,0.0,18.0,true,0
1182,4510.0,0.0,0.0,18.0,true,0
1171,4465.0,11.0,48.0,66.0,false,1
1184,4513.0,0.0,0.0,18.0,true,0
1176,4483.0,11.0,32.0,50.0,false,2
1186,4518.0,0.0,0.0,18.0,true,0
1187,4519.0,0.0,0.0,18.0,true,0
1173,4468.0,11.0,59.0,77.0,false,1
1177,4486.0,11.0,43.0,61.0,false,2
1174,4473.0,11.0,68.0,86.0,false,1
