CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
71,1.0681290617982868,242.0,0.0,0.0,15.0,true,0,0
73,1.1114630193352895,245.0,0.0,0.0,15.0,true,0,0
50,1.1668122835014811,179.0,8.0,73.0,87.0,false,1,1
44,1.0458466653836154,155.0,10.0,100.0,116.0,false,2,1
75,0.8692713286647609,257.0,0.0,0.0,19.0,true,0,0
77,0.9579052933331744,259.0,0.0,0.0,17.0,true,0,0
52,0.8689538035286308,190.0,12.0,76.0,93.0,false,1,1
45,0.9520065779053261,158.0,11.0,111.0,128.0,false,2,1
81,1.0757262742023825,275.0,0.0,0.0,15.0,true,0,0
55,0.8172561909406425,195.0,12.0,85.0,102.0,false,1,1
58,1.0728019565050648,203.0,9.0,80.0,96.0,false,2,1
85,1.0626375435547508,291.0,0.0,0.0,15.0,true,0,0
56,0.8587317656460883,200.0,12.0,94.0,111.0,false,1,1
62,0.9282313371992233,210.0,11.0,87.0,104.0,false,2,1
88,0.9722193410849093,299.0,0.0,0.0,17.0,true,0,0
86,0.7749053130687446,297.0,0.0,0.0,21.0,true,0,0
57,1.0344720636535218,202.0,10.0,106.0,121.0,false,1,1
63,1.175333686956471,217.0,8.0,94.0,109.0,false,2,1
59,1.0486821408650444,205.0,10.0,117.0,132.0,false,1,1
65,1.2101721924785498,220.0,8.0,105.0,119.0,false,2,1
95,0.9190456158918425,328.0,0.0,0.0,18.0,true,0,0
60,1.0930015199568062,207.0,9.0,129.0,143.0,false,1,1
68,0.9431265241980071,226.0,11.0,113.0,130.0,false,2,1
97,1.1811899968270754,348.0,0.0,0.0,14.0,true,0,0
72,1.1119573978837591,243.0,9.0,107.0,121.0,false,1,1
70,1.216404782064329,238.0,8.0,115.0,129.0,false,2,1
98,0.9625589431995378,355.0,0.0,0.0,17.0,true,0,0
74,1.071566865393999,251.0,9.0,113.0,128.0,false,1,1
76,1.0992489299949622,258.0,9.0,109.0,124.0,false,2,1
99,0.7942334896185895,362.0,0.0,0.0,20.0,true,0,0
101,0.8530943481231065,371.0,0.0,0.0,19.0,true,0,0
102,0.8191062251535663,372.0,0.0,0.0,20.0,true,0,0
103,1.0582595998978457,377.0,0.0,0.0,15.0,true,0,0
80,0.8967460787889427,268.0,11.0,110.0,126.0,false,1,1
105,1.052316226434679,380.0,0.0,0.0,15.0,true,0,0
78,0.9524030854448995,261.0,11.0,120.0,137.0,false,2,1
82,1.1476995499743585,280.0,9.0,112.0,126.0,false,1,1
